Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,SW1,MXOnly-1U-Hotswap,1,SW_Push,https://thepihut.com/products/kailh-switch-sockets-for-mx-compatible-mechanical-keys-20-pack?variant=40019715588291
2,U2,Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM,1,SeeeduinoXIAO,https://thepihut.com/products/seeed-xiao-samd21?srsltid=AfmBOopsKYftJU7zJh318_QIbgNfs8Iwz2q-IXUMCA7OXGZDiutoXrOy
