Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,"SW2,SW3,SW1,SW4",MXOnly-1U-Hotswap,4,SW_Push,https://thepihut.com/products/kailh-switch-sockets-for-mx-compatible-mechanical-keys-20-pack?variant=40019715588291
2,U2,Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM,1,SeeeduinoXIAO,https://thepihut.com/products/seeed-xiao-samd21?srsltid=AfmBOopsKYftJU7zJh318_QIbgNfs8Iwz2q-IXUMCA7OXGZDiutoXrOy
